beta_0,gamma_0,energy
0.0,0.0,-2.0
0.0,0.03149466319388264,-2.0
0.0,0.06298932638776528,-2.0
0.0,0.09448398958164791,-2.0
0.0,0.12597865277553055,-2.0
0.0,0.1574733159694132,-2.0
0.0,0.18896797916329583,-2.0
0.0,0.22046264235717847,-2.0
0.0,0.2519573055510611,-2.0
0.0,0.2834519687449437,-2.0
0.0,0.3149466319388264,-2.0
0.0,0.34644129513270905,-2.0
0.0,0.37793595832659166,-2.0
0.0,0.40943062152047427,-2.0
0.0,0.44092528471435694,-2.0
0.0,0.4724199479082396,-2.0
0.0,0.5039146111021222,-2.0
0.0,0.5354092742960048,-2.0
0.0,0.5669039374898874,-2.0
0.0,0.5983986006837702,-2.0000000000000004
0.0,0.6298932638776528,-2.0
0.0,0.6613879270715354,-2.0
0.0,0.6928825902654181,-2.0
0.0,0.7243772534593007,-2.0
0.0,0.7558719166531833,-2.0
0.0,0.7873665798470659,-2.0
0.0,0.8188612430409485,-2.0
0.0,0.8503559062348313,-2.0
0.0,0.8818505694287139,-2.0
0.0,0.9133452326225965,-2.0
0.0,0.9448398958164792,-2.0
0.0,0.9763345590103618,-2.0
0.0,1.0078292222042444,-2.0
0.0,1.039323885398127,-2.0
0.0,1.0708185485920096,-2.0
0.0,1.1023132117858923,-2.0
0.0,1.1338078749797749,-2.0
0.0,1.1653025381736577,-2.0
0.0,1.1967972013675403,-2.0
0.0,1.228291864561423,-2.0
0.0,1.2597865277553055,-2.0
0.0,1.2912811909491881,-2.0
0.0,1.3227758541430708,-2.0
0.0,1.3542705173369534,-2.0
0.0,1.3857651805308362,-2.0
0.0,1.4172598437247188,-2.0
0.0,1.4487545069186014,-2.0
0.0,1.480249170112484,-2.0
0.0,1.5117438333063666,-2.0
0.0,1.5432384965002492,-2.0
0.0,1.5747331596941319,-2.0
0.0,1.6062278228880145,-2.0
0.0,1.637722486081897,-2.0
0.0,1.66921714927578,-2.0
0.0,1.7007118124696625,-2.0
0.0,1.7322064756635451,-2.0
0.0,1.7637011388574277,-2.0
0.0,1.7951958020513104,-1.9999999999999996
0.0,1.826690465245193,-2.0
0.0,1.8581851284390756,-2.0
0.0,1.8896797916329584,-2.0
0.0,1.921174454826841,-2.0
0.0,1.9526691180207236,-2.0
0.0,1.9841637812146062,-2.0
0.0,2.015658444408489,-2.0
0.0,2.0471531076023717,-2.0
0.0,2.078647770796254,-2.0
0.0,2.110142433990137,-2.0
0.0,2.1416370971840193,-2.0
0.0,2.173131760377902,-2.0
0.0,2.2046264235717845,-2.0
0.0,2.2361210867656673,-2.0
0.0,2.2676157499595497,-2.0
0.0,2.2991104131534326,-1.9999999999999996
0.0,2.3306050763473154,-2.0
0.0,2.362099739541198,-2.0
0.0,2.3935944027350806,-2.0
0.0,2.425089065928963,-2.0
0.0,2.456583729122846,-2.0
0.0,2.4880783923167282,-2.0
0.0,2.519573055510611,-2.0
0.0,2.551067718704494,-2.0
0.0,2.5825623818983763,-2.0
0.0,2.614057045092259,-2.0
0.0,2.6455517082861415,-1.9999999999999996
0.0,2.6770463714800243,-2.0
0.0,2.7085410346739067,-2.0
0.0,2.7400356978677896,-2.0
0.0,2.7715303610616724,-2.0
0.0,2.8030250242555548,-2.0
0.0,2.8345196874494376,-2.0
0.0,2.86601435064332,-2.0
0.0,2.897509013837203,-2.0
0.0,2.929003677031085,-2.0
0.0,2.960498340224968,-2.0
0.0,2.9919930034188504,-2.0
0.0,3.0234876666127333,-2.0
0.0,3.054982329806616,-2.0
0.0,3.0864769930004985,-2.0
0.0,3.1179716561943813,-2.0
0.0,3.1494663193882637,-2.0
0.0,3.1809609825821465,-2.0
0.0,3.212455645776029,-2.0
0.0,3.2439503089699118,-2.0
0.0,3.275444972163794,-2.0
0.0,3.306939635357677,-2.0
0.0,3.33843429855156,-2.0
0.0,3.369928961745442,-2.0
0.0,3.401423624939325,-2.0
0.0,3.4329182881332074,-2.0
0.0,3.4644129513270903,-2.0
0.0,3.4959076145209727,-2.0
0.0,3.5274022777148555,-2.0
0.0,3.5588969409087383,-2.0
0.0,3.5903916041026207,-2.0
0.0,3.6218862672965035,-2.0
0.0,3.653380930490386,-2.0
0.0,3.6848755936842688,-2.0
0.0,3.716370256878151,-2.0
0.0,3.747864920072034,-1.9999999999999996
0.0,3.779359583265917,-2.0
0.0,3.810854246459799,-2.0
0.0,3.842348909653682,-2.0
0.0,3.8738435728475644,-2.0
0.0,3.9053382360414473,-2.0
0.0,3.9368328992353296,-2.0
0.0,3.9683275624292125,-2.0
0.0,3.999822225623095,-2.0
0.0,4.031316888816978,-2.0
0.0,4.06281155201086,-2.0
0.0,4.094306215204743,-2.0
0.0,4.125800878398626,-2.0
0.0,4.157295541592508,-2.0
0.0,4.1887902047863905,-2.0
0.0,4.220284867980274,-2.0
0.0,4.251779531174156,-2.0
0.0,4.283274194368039,-2.0
0.0,4.314768857561922,-2.0
0.0,4.346263520755804,-2.0
0.0,4.377758183949687,-2.0
0.0,4.409252847143569,-2.0
0.0,4.440747510337452,-2.0
0.0,4.472242173531335,-2.0
0.0,4.503736836725217,-2.0
0.0,4.5352314999190995,-2.0
0.0,4.566726163112983,-2.0
0.0,4.598220826306865,-1.9999999999999996
0.0,4.6297154895007475,-1.9999999999999996
0.0,4.661210152694631,-2.0
0.0,4.692704815888513,-2.0
0.0,4.724199479082396,-2.0
0.0,4.755694142276278,-2.0
0.0,4.787188805470161,-2.0
0.0,4.818683468664044,-1.9999999999999996
0.0,4.850178131857926,-2.0
0.0,4.881672795051809,-2.0
0.0,4.913167458245692,-2.0
0.0,4.944662121439574,-2.0
0.0,4.9761567846334565,-2.0
0.0,5.00765144782734,-2.0
0.0,5.039146111021222,-2.0
0.0,5.0706407742151045,-2.0
0.0,5.102135437408988,-2.0
0.0,5.13363010060287,-2.0
0.0,5.165124763796753,-2.0
0.0,5.196619426990635,-2.0
0.0,5.228114090184518,-2.0
0.0,5.259608753378401,-2.0
0.0,5.291103416572283,-2.0
0.0,5.322598079766166,-2.0
0.0,5.354092742960049,-2.0
0.0,5.385587406153931,-2.0
0.0,5.4170820693478134,-2.0
0.0,5.448576732541697,-2.0
0.0,5.480071395735579,-2.0
0.0,5.5115660589294615,-2.0
0.0,5.543060722123345,-2.0
0.0,5.574555385317227,-2.0
0.0,5.6060500485111096,-2.0
0.0,5.637544711704992,-2.0
0.0,5.669039374898875,-2.0
0.0,5.700534038092758,-2.0
0.0,5.73202870128664,-2.0
0.0,5.763523364480522,-2.0
0.0,5.795018027674406,-2.0
0.0,5.826512690868288,-2.0
0.0,5.85800735406217,-2.0
0.0,5.889502017256054,-2.0
0.0,5.920996680449936,-2.0
0.0,5.9524913436438185,-2.0
0.0,5.983986006837701,-2.0
0.0,6.015480670031584,-2.0
0.0,6.0469753332254665,-2.0
0.0,6.078469996419349,-2.0
0.0,6.109964659613232,-2.0
0.0,6.141459322807115,-2.0
0.0,6.172953986000997,-2.0
0.0,6.204448649194879,-2.0
0.0,6.235943312388763,-2.0
0.0,6.267437975582645,-2.0
0.0,6.298932638776527,-2.0
0.0,6.330427301970411,-2.0
0.0,6.361921965164293,-2.0
0.0,6.3934166283581755,-2.0
0.0,6.424911291552058,-2.0
0.0,6.456405954745941,-2.0
0.0,6.4879006179398235,-2.0
0.0,6.519395281133706,-2.0
0.0,6.550889944327588,-2.0
0.0,6.582384607521472,-2.0
0.0,6.613879270715354,-2.0
0.0,6.645373933909236,-2.0
0.0,6.67686859710312,-2.0
0.0,6.708363260297002,-1.9999999999999996
0.0,6.739857923490884,-2.0
0.0,6.771352586684767,-2.0
0.0,6.80284724987865,-1.9999999999999996
0.0,6.8343419130725325,-2.0
0.0,6.865836576266415,-2.0
0.0,6.897331239460298,-2.0
0.0,6.9288259026541805,-2.0
0.0,6.960320565848063,-2.0
0.0,6.991815229041945,-2.0
0.0,7.023309892235829,-2.0
0.0,7.054804555429711,-2.0
0.0,7.086299218623593,-2.0
0.0,7.117793881817477,-2.0
0.0,7.149288545011359,-2.0
0.0,7.180783208205241,-2.0
0.0,7.212277871399124,-2.0
0.0,7.243772534593007,-2.0
0.0,7.2752671977868895,-2.0
0.0,7.306761860980772,-2.0
0.0,7.338256524174655,-2.0
0.0,7.3697511873685375,-2.0
0.0,7.40124585056242,-2.0
0.0,7.432740513756302,-2.0
0.0,7.464235176950186,-2.0
0.0,7.495729840144068,-2.0
0.0,7.52722450333795,-2.0
0.0,7.558719166531834,-2.0
0.0,7.590213829725716,-2.0
0.0,7.621708492919598,-2.0
0.0,7.653203156113481,-2.0
0.0,7.684697819307364,-2.0
0.0,7.7161924825012465,-2.0
0.0,7.747687145695129,-2.0
0.0,7.779181808889011,-2.0
0.0,7.8106764720828945,-2.0
0.0,7.842171135276777,-2.0
0.0,7.873665798470659,-2.0
0.0,7.905160461664543,-1.9999999999999996
0.0,7.936655124858425,-2.0
0.0,7.968149788052307,-2.0
0.0,7.99964445124619,-2.0
0.0,8.031139114440073,-2.0
0.0,8.062633777633955,-2.0
0.0,8.094128440827838,-2.0
0.0,8.12562310402172,-2.0
0.0,8.157117767215603,-2.0
0.0,8.188612430409487,-2.0
0.0,8.220107093603369,-2.0
0.0,8.251601756797251,-2.0
