beta_0,gamma_0,energy
0.0,0.0,-5.000000000000001
0.0,0.03149466319388264,-5.000000000000002
0.0,0.06298932638776528,-5.000000000000001
0.0,0.09448398958164791,-5.000000000000001
0.0,0.12597865277553055,-4.999999999999999
0.0,0.1574733159694132,-5.000000000000001
0.0,0.18896797916329583,-5.0
0.0,0.22046264235717847,-5.000000000000003
0.0,0.2519573055510611,-4.999999999999999
0.0,0.2834519687449437,-5.0
0.0,0.3149466319388264,-5.0
0.0,0.34644129513270905,-5.000000000000002
0.0,0.37793595832659166,-5.000000000000006
0.0,0.40943062152047427,-5.000000000000003
0.0,0.44092528471435694,-4.999999999999999
0.0,0.4724199479082396,-5.000000000000002
0.0,0.5039146111021222,-4.999999999999998
0.0,0.5354092742960048,-5.0
0.0,0.5669039374898874,-5.000000000000002
0.0,0.5983986006837702,-5.000000000000004
0.0,0.6298932638776528,-5.0
0.0,0.6613879270715354,-4.999999999999992
0.0,0.6928825902654181,-5.000000000000002
0.0,0.7243772534593007,-5.000000000000007
0.0,0.7558719166531833,-5.0
0.0,0.7873665798470659,-5.0
0.0,0.8188612430409485,-5.000000000000001
0.0,0.8503559062348313,-4.999999999999998
0.0,0.8818505694287139,-5.000000000000001
0.0,0.9133452326225965,-5.0
0.0,0.9448398958164792,-4.999999999999999
0.0,0.9763345590103618,-5.000000000000001
0.0,1.0078292222042444,-5.000000000000004
0.0,1.039323885398127,-5.000000000000001
0.0,1.0708185485920096,-4.999999999999995
0.0,1.1023132117858923,-4.999999999999999
0.0,1.1338078749797749,-4.999999999999999
0.0,1.1653025381736577,-5.000000000000001
0.0,1.1967972013675403,-5.000000000000003
0.0,1.228291864561423,-5.0
0.0,1.2597865277553055,-5.0
0.0,1.2912811909491881,-4.999999999999999
0.0,1.3227758541430708,-5.000000000000003
0.0,1.3542705173369534,-4.999999999999999
0.0,1.3857651805308362,-5.000000000000005
0.0,1.4172598437247188,-5.000000000000002
0.0,1.4487545069186014,-5.000000000000007
0.0,1.480249170112484,-5.000000000000001
0.0,1.5117438333063666,-5.000000000000005
0.0,1.5432384965002492,-5.000000000000001
0.0,1.5747331596941319,-5.000000000000004
0.0,1.6062278228880145,-5.000000000000001
0.0,1.637722486081897,-4.999999999999993
0.0,1.66921714927578,-5.000000000000001
0.0,1.7007118124696625,-5.000000000000008
0.0,1.7322064756635451,-5.000000000000002
0.0,1.7637011388574277,-5.000000000000001
0.0,1.7951958020513104,-4.999999999999997
0.0,1.826690465245193,-5.000000000000001
0.0,1.8581851284390756,-4.999999999999999
0.0,1.8896797916329584,-5.000000000000001
0.0,1.921174454826841,-5.000000000000001
0.0,1.9526691180207236,-5.000000000000001
0.0,1.9841637812146062,-5.000000000000001
0.0,2.015658444408489,-5.0
0.0,2.0471531076023717,-5.000000000000001
0.0,2.078647770796254,-4.999999999999999
0.0,2.110142433990137,-4.999999999999998
0.0,2.1416370971840193,-5.000000000000001
0.0,2.173131760377902,-5.0000000000000036
0.0,2.2046264235717845,-4.999999999999996
0.0,2.2361210867656673,-4.999999999999998
0.0,2.2676157499595497,-5.000000000000001
0.0,2.2991104131534326,-4.999999999999998
0.0,2.3306050763473154,-5.000000000000001
0.0,2.362099739541198,-5.000000000000001
0.0,2.3935944027350806,-4.999999999999998
0.0,2.425089065928963,-5.000000000000001
0.0,2.456583729122846,-5.000000000000002
0.0,2.4880783923167282,-5.000000000000001
0.0,2.519573055510611,-5.000000000000001
0.0,2.551067718704494,-5.000000000000003
0.0,2.5825623818983763,-5.000000000000001
0.0,2.614057045092259,-5.0
0.0,2.6455517082861415,-4.999999999999996
0.0,2.6770463714800243,-4.999999999999993
0.0,2.7085410346739067,-5.0
0.0,2.7400356978677896,-5.000000000000001
0.0,2.7715303610616724,-5.000000000000005
0.0,2.8030250242555548,-4.999999999999999
0.0,2.8345196874494376,-5.000000000000002
0.0,2.86601435064332,-5.000000000000001
0.0,2.897509013837203,-4.999999999999999
0.0,2.929003677031085,-4.999999999999998
0.0,2.960498340224968,-5.000000000000001
0.0,2.9919930034188504,-4.999999999999999
0.0,3.0234876666127333,-5.000000000000001
0.0,3.054982329806616,-4.999999999999997
0.0,3.0864769930004985,-5.000000000000001
0.0,3.1179716561943813,-5.000000000000002
0.0,3.1494663193882637,-4.999999999999998
0.0,3.1809609825821465,-4.999999999999999
0.0,3.212455645776029,-5.000000000000001
0.0,3.2439503089699118,-4.999999999999998
0.0,3.275444972163794,-5.000000000000007
0.0,3.306939635357677,-5.000000000000001
0.0,3.33843429855156,-4.999999999999998
0.0,3.369928961745442,-4.999999999999999
0.0,3.401423624939325,-5.000000000000002
0.0,3.4329182881332074,-5.000000000000005
0.0,3.4644129513270903,-4.999999999999997
0.0,3.4959076145209727,-5.000000000000001
0.0,3.5274022777148555,-4.9999999999999964
0.0,3.5588969409087383,-5.000000000000001
0.0,3.5903916041026207,-4.999999999999999
0.0,3.6218862672965035,-4.999999999999999
0.0,3.653380930490386,-4.999999999999999
0.0,3.6848755936842688,-5.000000000000001
0.0,3.716370256878151,-4.999999999999999
0.0,3.747864920072034,-4.999999999999999
0.0,3.779359583265917,-4.999999999999994
0.0,3.810854246459799,-5.000000000000001
0.0,3.842348909653682,-5.000000000000005
0.0,3.8738435728475644,-5.000000000000002
0.0,3.9053382360414473,-5.0
0.0,3.9368328992353296,-4.999999999999997
0.0,3.9683275624292125,-4.999999999999998
0.0,3.999822225623095,-4.999999999999998
0.0,4.031316888816978,-4.999999999999998
0.0,4.06281155201086,-5.000000000000001
0.0,4.094306215204743,-5.0
0.0,4.125800878398626,-5.000000000000001
0.0,4.157295541592508,-4.999999999999999
0.0,4.1887902047863905,-5.0000000000000036
0.0,4.220284867980274,-5.000000000000001
0.0,4.251779531174156,-4.999999999999998
0.0,4.283274194368039,-4.999999999999996
0.0,4.314768857561922,-4.999999999999998
0.0,4.346263520755804,-4.999999999999999
0.0,4.377758183949687,-4.999999999999999
0.0,4.409252847143569,-4.999999999999996
0.0,4.440747510337452,-4.999999999999999
0.0,4.472242173531335,-5.000000000000002
0.0,4.503736836725217,-5.000000000000001
0.0,4.5352314999190995,-5.000000000000003
0.0,4.566726163112983,-5.000000000000001
0.0,4.598220826306865,-4.999999999999991
0.0,4.6297154895007475,-4.999999999999993
0.0,4.661210152694631,-5.000000000000001
0.0,4.692704815888513,-5.000000000000001
0.0,4.724199479082396,-5.000000000000004
0.0,4.755694142276278,-5.000000000000006
0.0,4.787188805470161,-5.0
0.0,4.818683468664044,-5.0
0.0,4.850178131857926,-5.000000000000002
0.0,4.881672795051809,-5.0
0.0,4.913167458245692,-5.000000000000001
0.0,4.944662121439574,-5.000000000000001
0.0,4.9761567846334565,-5.000000000000001
0.0,5.00765144782734,-5.000000000000001
0.0,5.039146111021222,-5.000000000000003
0.0,5.0706407742151045,-5.000000000000001
0.0,5.102135437408988,-5.0
0.0,5.13363010060287,-4.999999999999998
0.0,5.165124763796753,-5.000000000000001
0.0,5.196619426990635,-5.000000000000004
